,genes,description,MF Terms,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum
0,LAMC1,laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492],['extracellular matrix constituent conferring elasticity'],1,0,0,0,0,0,1,1,1,2
333,SH3GL1,"SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]","['ion channel binding', 'SH3 domain binding', 'beta-1 adrenergic receptor binding', 'lipid binding', 'GTPase binding', 'cadherin binding', 'phosphatase binding', 'identical protein binding', 'protein C-terminus binding']",1,1,0,1,1,0,1,2,3,5
334,FRMPD4,FERM and PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:29007],"['protein binding', 'phosphatidylinositol-4,5-bisphosphate binding']",1,0,1,0,0,0,0,2,0,2
335,SLC6A5,solute carrier family 6 member 5 [Source:HGNC Symbol;Acc:HGNC:11051],"['glycine:sodium symporter activity', 'metal ion binding']",1,0,1,0,0,0,0,2,0,2
336,CACNG2,calcium voltage-gated channel auxiliary subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:1406],"['channel regulator activity', 'voltage-gated calcium channel activity', 'ionotropic glutamate receptor binding']",1,0,1,1,0,0,0,2,1,3
337,PTPRS,protein tyrosine phosphatase receptor type S [Source:HGNC Symbol;Acc:HGNC:9681],"['heparin binding', 'chondroitin sulfate binding', 'heparan sulfate proteoglycan binding', 'protein tyrosine phosphatase activity']",1,1,1,1,1,1,1,3,4,7
338,GLRA4,glycine receptor alpha 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:31715],"['transmitter-gated ion channel activity', 'glycine binding', 'transmembrane signaling receptor activity', 'chloride channel activity']",1,0,0,0,0,0,0,1,0,1
339,RPS6KB1,ribosomal protein S6 kinase B1 [Source:HGNC Symbol;Acc:HGNC:10436],"['protein serine kinase activity', 'protein binding', 'ribosomal protein S6 kinase activity', 'protein serine/threonine/tyrosine kinase activity', 'ATP binding', 'protein threonine kinase activity']",1,1,0,0,0,0,0,2,0,2
340,ABI2,abl interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011],"['SH3 domain binding', 'proline-rich region binding', 'ubiquitin protein ligase binding', 'DNA binding', 'cytoskeletal anchor activity', 'identical protein binding', 'kinase binding', 'small GTPase binding']",1,1,1,1,1,1,1,3,4,7
341,SLC6A6,solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052],"['gamma-aminobutyric acid transmembrane transporter activity', 'alanine transmembrane transporter activity', 'taurine:sodium symporter activity']",1,0,1,0,0,0,0,2,0,2
342,ATP6V0D1,ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724],"['protein binding', 'protein-containing complex binding', 'proton-transporting ATPase activity, rotational mechanism']",1,1,1,1,1,1,1,3,4,7
343,RGS9,regulator of G protein signaling 9 [Source:HGNC Symbol;Acc:HGNC:10004],"['GTPase activator activity', 'GTPase activity']",1,0,0,1,1,0,0,1,2,3
344,CRIPT,CXXC repeat containing interactor of PDZ3 domain [Source:HGNC Symbol;Acc:HGNC:14312],"['protein-containing complex binding', 'microtubule binding', 'PDZ domain binding', 'scaffold protein binding']",1,1,0,0,0,0,0,2,0,2
345,CRTC1,CREB regulated transcription coactivator 1 [Source:HGNC Symbol;Acc:HGNC:16062],['cAMP response element binding protein binding'],1,0,0,0,0,0,0,1,0,1
346,LRFN4,leucine rich repeat and fibronectin type III domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28456],['protein binding'],1,0,0,0,0,0,0,1,0,1
347,SNAP23,synaptosome associated protein 23 [Source:HGNC Symbol;Acc:HGNC:11131],"['SNAP receptor activity', 'syntaxin binding']",1,0,1,1,0,0,0,2,1,3
348,RAPSN,receptor associated protein of the synapse [Source:HGNC Symbol;Acc:HGNC:9863],"['acetylcholine receptor binding', 'protein-membrane adaptor activity', 'metal ion binding']",1,0,0,0,0,0,0,1,0,1
349,TANC1,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29364]",['protein binding'],1,0,0,0,0,0,0,1,0,1
350,RPL24,ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325],"['RNA binding', 'cadherin binding', 'structural constituent of ribosome']",1,1,0,1,0,1,1,2,3,5
351,LPAR1,lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166],"['lysophosphatidic acid receptor activity', 'PDZ domain binding', 'G-protein alpha-subunit binding', 'lysophosphatidic acid binding']",1,0,0,0,0,0,0,1,0,1
352,RAPGEF4,Rap guanine nucleotide exchange factor 4 [Source:HGNC Symbol;Acc:HGNC:16626],"['guanyl-nucleotide exchange factor activity', 'small GTPase binding', 'cAMP binding']",1,1,1,1,1,0,1,3,3,6
353,ADAM10,ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188],"['SH3 domain binding', 'protein kinase binding', 'metalloendopeptidase activity involved in amyloid precursor protein catabolic process', 'protein homodimerization activity', 'integrin binding', 'metal ion binding']",1,0,0,0,0,0,1,1,1,2
354,SLC32A1,solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018],"['gamma-aminobutyric acid:proton symporter activity', 'glycine transmembrane transporter activity']",1,1,1,1,1,0,0,3,2,5
355,OPRM1,opioid receptor mu 1 [Source:HGNC Symbol;Acc:HGNC:8156],"['G-protein alpha-subunit binding', 'protein domain specific binding', 'voltage-gated calcium channel activity', 'G-protein beta-subunit binding', 'morphine receptor activity', 'filamin binding', 'neuropeptide binding', 'beta-endorphin receptor activity', 'protein C-terminus binding']",1,0,1,0,0,0,0,2,0,2
356,YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851],"['histone deacetylase binding', 'ion channel binding', 'ubiquitin protein ligase binding', 'protein domain specific binding', 'cadherin binding', 'scaffold protein binding', 'RNA binding', 'MHC class II protein complex binding', 'identical protein binding', 'phosphoserine residue binding', 'potassium channel regulator activity', 'protein heterodimerization activity', 'calcium channel regulator activity', 'protein phosphatase binding']",1,1,1,1,1,1,1,3,4,7
357,ATP6V0C,ATPase H+ transporting V0 subunit c [Source:HGNC Symbol;Acc:HGNC:855],"['proton-transporting ATP synthase activity, rotational mechanism', 'ubiquitin protein ligase binding', 'proton-transporting ATPase activity, rotational mechanism']",1,1,1,0,0,0,0,3,0,3
358,STX2,syntaxin 2 [Source:HGNC Symbol;Acc:HGNC:3403],"['calcium-dependent protein binding', 'SNARE binding', 'SNAP receptor activity', 'structural molecule activity']",1,0,1,0,0,0,0,2,0,2
359,CLCN3,chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021],"['voltage-gated chloride channel activity', 'volume-sensitive chloride channel activity', 'solute:proton antiporter activity', 'ATP binding', 'PDZ domain binding']",1,1,0,0,0,0,1,2,1,3
360,SYT11,synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239],"['calcium-dependent phospholipid binding', 'SNARE binding', 'calcium ion binding', 'beta-tubulin binding', 'ubiquitin protein ligase binding', 'clathrin binding', 'translation initiation factor binding', 'phosphatidylserine binding', 'identical protein binding']",1,0,0,1,0,1,1,1,3,4
361,DLG4,discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903],"['beta-1 adrenergic receptor binding', 'neuroligin family protein binding', 'P2Y1 nucleotide receptor binding', 'acetylcholine receptor binding', 'scaffold protein binding', 'D1 dopamine receptor binding', 'kinase binding', 'ionotropic glutamate receptor binding', 'protein-containing complex binding', 'PDZ domain binding', 'protein C-terminus binding', 'protein phosphatase binding']",1,1,1,1,1,0,1,3,3,6
362,FZD5,frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043],"['Wnt-protein binding', 'lipid binding', 'Wnt-activated receptor activity', 'ubiquitin protein ligase binding', 'protein kinase binding', 'G protein-coupled receptor activity', 'amyloid-beta binding', 'protein-containing complex binding']",1,0,0,0,0,0,0,1,0,1
363,ATAD1,ATPase family AAA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25903],"['ATPase activity', 'ATP binding']",1,1,0,1,1,0,1,2,3,5
364,VAMP3,vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644],"['SNAP receptor activity', 'syntaxin-1 binding']",1,1,1,1,1,0,0,3,2,5
365,ARHGAP39,Rho GTPase activating protein 39 [Source:HGNC Symbol;Acc:HGNC:29351],['GTPase activator activity'],1,0,0,1,0,1,1,1,3,4
366,SYDE2,synapse defective Rho GTPase homolog 2 [Source:HGNC Symbol;Acc:HGNC:25841],['GTPase activator activity'],1,0,0,0,0,0,0,1,0,1
367,KCNC2,potassium voltage-gated channel subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:6234],"['ion channel binding', 'delayed rectifier potassium channel activity', 'voltage-gated ion channel activity involved in regulation of presynaptic membrane potential']",1,0,1,0,0,0,0,2,0,2
368,RPS20,ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,0,0,1,1,1,1,1,4,5
369,ADD3,adducin 3 [Source:HGNC Symbol;Acc:HGNC:245],"['calmodulin binding', 'actin filament binding', 'structural constituent of cytoskeleton', 'spectrin binding']",1,1,1,1,1,0,1,3,3,6
370,SLC16A1,solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922],"['organic cyclic compound binding', 'mevalonate transmembrane transporter activity', 'symporter activity', 'identical protein binding', 'lactate transmembrane transporter activity']",1,0,0,0,0,0,1,1,1,2
371,RPL27,ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,1,0,1,1,1,1,2,4,6
372,NCAN,neurocan [Source:HGNC Symbol;Acc:HGNC:2465],"['hyaluronic acid binding', 'calcium ion binding', 'carbohydrate binding']",1,0,1,1,1,1,0,2,3,5
373,FGG,fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694],"['extracellular matrix structural constituent', 'signaling receptor binding', 'identical protein binding', 'metal ion binding', 'cell adhesion molecule binding']",1,1,0,0,0,0,0,2,0,2
374,KCNC1,potassium voltage-gated channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:6233],"['ion channel binding', 'delayed rectifier potassium channel activity', 'kinesin binding', 'voltage-gated ion channel activity involved in regulation of presynaptic membrane potential']",1,0,1,0,0,0,0,2,0,2
375,AKR1A1,aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380],"['glucuronolactone reductase activity', 'protein binding', 'alditol:NADP+ 1-oxidoreductase activity', 'L-glucuronate reductase activity', 'electron transfer activity', 'allyl-alcohol dehydrogenase activity']",1,1,0,0,0,1,1,2,2,4
376,CLU,clusterin [Source:HGNC Symbol;Acc:HGNC:2095],"['chaperone binding', 'ubiquitin protein ligase binding', 'low-density lipoprotein particle receptor binding', 'unfolded protein binding', 'amyloid-beta binding', 'protein-containing complex binding', 'tau protein binding', 'misfolded protein binding']",1,1,0,1,1,1,1,2,4,6
377,DLGAP4,DLG associated protein 4 [Source:HGNC Symbol;Acc:HGNC:24476],"['protein binding', 'molecular adaptor activity']",1,0,1,1,1,1,1,2,4,6
378,PTPRA,protein tyrosine phosphatase receptor type A [Source:HGNC Symbol;Acc:HGNC:9664],"['protein binding', 'transmembrane receptor protein tyrosine phosphatase activity']",1,0,1,1,0,0,1,2,2,4
379,CPLX2,complexin 2 [Source:HGNC Symbol;Acc:HGNC:2310],"['syntaxin-1 binding', 'calcium-dependent protein binding']",1,1,1,1,1,0,0,3,2,5
380,SLC6A17,solute carrier family 6 member 17 [Source:HGNC Symbol;Acc:HGNC:31399],"['protein binding', 'symporter activity']",1,1,1,0,0,0,0,3,0,3
381,DNM1L,dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973],"['small GTPase binding', 'lipid binding', 'BH2 domain binding', 'GTP-dependent protein binding', 'GTPase activator activity', 'ubiquitin protein ligase binding', 'clathrin binding', 'protein homodimerization activity', 'GTPase activity', 'microtubule binding', 'GTP binding', 'protein-containing complex binding']",1,1,1,1,1,1,1,3,4,7
382,ARFGAP1,ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852],"['GTPase activator activity', 'protein binding', 'metal ion binding']",1,0,1,1,0,0,1,2,2,4
383,APH1A,"aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]","['protein binding', 'endopeptidase activity']",1,0,1,0,0,0,0,2,0,2
384,RHEB,"Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]","['protein kinase binding', 'magnesium ion binding', 'GDP binding', 'GTPase activity', 'GTP binding']",1,0,0,1,0,0,1,1,2,3
385,EIF5A,eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300],"['U6 snRNA binding', 'ribosome binding', 'protein N-terminus binding', 'translation elongation factor activity']",1,1,0,0,0,0,0,2,0,2
386,EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288],"['protein phosphatase 2A binding', 'translation repressor activity', 'eukaryotic initiation factor 4E binding']",1,0,0,0,0,0,0,1,0,1
387,OPRD1,opioid receptor delta 1 [Source:HGNC Symbol;Acc:HGNC:8153],"['enkephalin receptor activity', 'receptor serine/threonine kinase binding', 'neuropeptide binding']",1,0,1,0,0,0,0,2,0,2
388,SYT6,synaptotagmin 6 [Source:HGNC Symbol;Acc:HGNC:18638],"['calcium ion binding', 'syntaxin binding', 'calcium-dependent protein binding', 'clathrin binding', 'phosphatidylserine binding', 'protein homodimerization activity']",1,0,1,0,0,0,0,2,0,2
389,LZTS3,leucine zipper tumor suppressor family member 3 [Source:HGNC Symbol;Acc:HGNC:30139],None,1,0,0,0,0,0,0,1,0,1
390,CTBP1,C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494],"['NAD binding', 'protein domain specific binding', 'oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'identical protein binding', 'transcription corepressor activity', 'repressing transcription factor binding', 'RNA polymerase II transcription corepressor binding', 'chromatin binding', 'protein C-terminus binding']",1,1,1,1,0,1,1,3,3,6
391,RPS7,ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440],"[""mRNA 3'-UTR binding"", 'protein kinase binding', 'ubiquitin ligase inhibitor activity', ""mRNA 5'-UTR binding"", 'structural constituent of ribosome']",1,1,0,1,1,0,1,2,3,5
392,RAB5A,"RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]","['protein binding', 'GDP binding', 'GTP binding', 'GTPase activity']",1,1,1,1,1,0,1,3,3,6
393,RPL23,ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316],"['transcription coactivator binding', 'ubiquitin protein ligase binding', 'large ribosomal subunit rRNA binding', 'ubiquitin ligase inhibitor activity', 'structural constituent of ribosome']",1,1,0,1,1,1,1,2,4,6
394,RPL37,ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347],"['rRNA binding', 'structural constituent of ribosome', 'metal ion binding']",1,0,0,1,1,0,0,1,2,3
395,EPS15,epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419],"['SH3 domain binding', 'calcium ion binding', 'cadherin binding', 'polyubiquitin modification-dependent protein binding', 'identical protein binding']",1,1,0,1,0,0,0,2,1,3
396,PTK2,protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611],"['SH2 domain binding', 'JUN kinase binding', 'actin binding', 'non-membrane spanning protein tyrosine kinase activity', 'integrin binding', 'ATP binding', 'protein phosphatase binding']",1,1,0,1,0,0,1,2,2,4
397,PPP1R9A,protein phosphatase 1 regulatory subunit 9A [Source:HGNC Symbol;Acc:HGNC:14946],"['ion channel binding', 'GTPase binding', 'protein domain specific binding', 'protein kinase binding', 'identical protein binding', 'actin filament binding', 'protein phosphatase 1 binding', 'protein C-terminus binding']",1,1,0,0,0,1,1,2,2,4
398,NCS1,neuronal calcium sensor 1 [Source:HGNC Symbol;Acc:HGNC:3953],"['magnesium ion binding', 'protein kinase binding', 'calcium ion binding', 'voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels']",1,0,0,0,0,0,0,1,0,1
399,CRKL,"CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]","['cadherin binding', 'RNA binding', 'identical protein binding', 'phosphotyrosine residue binding']",1,0,0,1,1,0,1,1,3,4
400,KCNC4,potassium voltage-gated channel subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:6236],"['protein binding', 'delayed rectifier potassium channel activity']",1,0,1,1,0,0,0,2,1,3
401,INA,internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057],"['protein binding', 'structural constituent of postsynaptic intermediate filament cytoskeleton', 'structural constituent of postsynaptic actin cytoskeleton']",1,1,1,1,1,1,1,3,4,7
402,ATP6V1B2,ATPase H+ transporting V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854],"['protein binding', 'proton-transporting ATPase activity, rotational mechanism', 'hydrolase activity', 'ATP binding']",1,1,1,1,1,1,1,3,4,7
403,PTPRO,protein tyrosine phosphatase receptor type O [Source:HGNC Symbol;Acc:HGNC:9678],"['protein homodimerization activity', 'cadherin binding', 'Wnt-protein binding', 'transmembrane receptor protein tyrosine phosphatase activity']",1,0,0,0,0,1,1,1,2,3
404,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B [Source:HGNC Symbol;Acc:HGNC:16768],"['neurotransmitter binding', 'glycine binding', 'calcium channel activity', 'NMDA glutamate receptor activity']",1,0,0,0,0,0,0,1,0,1
405,GABRB1,gamma-aminobutyric acid type A receptor subunit beta1 [Source:HGNC Symbol;Acc:HGNC:4081],"['GABA-gated chloride ion channel activity', 'transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential', 'GABA-A receptor activity', 'GABA receptor binding']",1,0,1,1,0,0,0,2,1,3
406,PACSIN1,protein kinase C and casein kinase substrate in neurons 1 [Source:HGNC Symbol;Acc:HGNC:8570],"['identical protein binding', 'phospholipid binding', 'cytoskeletal protein binding']",1,1,1,1,1,0,0,3,2,5
407,PCDH17,protocadherin 17 [Source:HGNC Symbol;Acc:HGNC:14267],"['protein binding', 'calcium ion binding']",1,0,0,0,0,0,1,1,1,2
408,ANXA5,annexin A5 [Source:HGNC Symbol;Acc:HGNC:543],"['protein binding', 'phospholipase inhibitor activity', 'calcium ion binding', 'calcium-dependent phospholipid binding']",1,1,1,0,0,0,1,3,1,4
409,SLC8A3,solute carrier family 8 member A3 [Source:HGNC Symbol;Acc:HGNC:11070],"['calmodulin binding', 'calcium:sodium antiporter activity', 'metal ion binding']",1,0,1,0,0,0,0,2,0,2
410,PPP1R1B,protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287],"['D4 dopamine receptor binding', 'D5 dopamine receptor binding', 'protein phosphatase inhibitor activity', 'D3 dopamine receptor binding', 'D1 dopamine receptor binding', 'protein kinase inhibitor activity', 'D2 dopamine receptor binding']",1,0,1,1,1,0,0,2,2,4
411,VAMP1,vesicle associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:12642],"['SNAP receptor activity', 'syntaxin binding']",1,1,1,0,0,0,0,3,0,3
412,PICK1,protein interacting with PRKCA 1 [Source:HGNC Symbol;Acc:HGNC:9394],"['phospholipid binding', 'G protein-coupled receptor binding', 'protein domain specific binding', 'protein kinase C binding', 'identical protein binding', 'actin filament binding', 'metal ion binding', 'membrane curvature sensor activity', 'Arp2/3 complex binding', 'protein C-terminus binding']",1,0,1,0,0,0,1,2,1,3
413,CADPS2,calcium dependent secretion activator 2 [Source:HGNC Symbol;Acc:HGNC:16018],"['lipid binding', 'metal ion binding']",1,0,0,1,1,0,0,1,2,3
414,AGAP3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:16923]","['GTPase activator activity', 'polyubiquitin modification-dependent protein binding', 'GTPase activity', 'metal ion binding', 'GTP binding']",1,1,0,1,1,1,1,2,4,6
415,DGKZ,diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857],"['NAD+ kinase activity', 'protein binding', 'diacylglycerol kinase activity', 'ATP binding', 'metal ion binding']",1,1,0,1,1,0,0,2,2,4
416,P2RX6,purinergic receptor P2X 6 [Source:HGNC Symbol;Acc:HGNC:8538],"['protein-containing complex binding', 'extracellularly ATP-gated cation channel activity', 'purinergic nucleotide receptor activity', 'ATP binding']",1,0,1,0,0,0,0,2,0,2
417,YES1,"YES proto-oncogene 1, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12841]","['ion channel binding', 'epidermal growth factor receptor binding', 'enzyme binding', 'non-membrane spanning protein tyrosine kinase activity', 'phosphotyrosine residue binding', 'ATP binding']",1,1,0,0,0,1,1,2,2,4
418,DLG3,discs large MAGUK scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:2902],"['structural constituent of postsynaptic density', 'ubiquitin protein ligase binding', 'kinase binding', 'ionotropic glutamate receptor binding', 'PDZ domain binding', 'protein C-terminus binding', 'protein phosphatase binding']",1,1,1,1,1,1,0,3,3,6
419,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1 [Source:HGNC Symbol;Acc:HGNC:4075],"['GABA-gated chloride ion channel activity', 'inhibitory extracellular ligand-gated ion channel activity', 'GABA-A receptor activity', 'transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential', 'drug binding', 'benzodiazepine receptor activity']",1,1,1,1,0,0,0,3,1,4
420,RHOA,ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667],"['Rho GDP-dissociation inhibitor binding', 'protein domain specific binding', 'protein kinase binding', 'myosin binding', 'GDP binding', 'GTPase activity', 'GTP binding']",1,1,1,1,1,0,1,3,3,6
421,RAB17,"RAB17, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16523]","['protein binding', 'GDP binding', 'GTP binding', 'GTPase activity']",1,0,0,0,0,0,0,1,0,1
422,EEF1D,eukaryotic translation elongation factor 1 delta [Source:HGNC Symbol;Acc:HGNC:3211],"['cadherin binding', 'DNA binding', 'guanyl-nucleotide exchange factor activity', 'translation elongation factor activity']",1,1,0,1,1,1,1,2,4,6
423,EPHA4,EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388],"['protein tyrosine kinase binding', 'DH domain binding', 'GPI-linked ephrin receptor activity', 'transmembrane-ephrin receptor activity', 'ephrin receptor binding', 'identical protein binding', 'ATP binding', 'amyloid-beta binding', 'PH domain binding']",1,1,1,1,1,0,1,3,3,6
424,GIT1,GIT ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:4272],"['GTPase activator activity', 'protein binding', 'protein-containing complex binding', 'metal ion binding']",1,1,1,1,1,1,1,3,4,7
425,RPH3A,rabphilin 3A [Source:HGNC Symbol;Acc:HGNC:17056],"['calcium-dependent phospholipid binding', 'zinc ion binding', 'calcium ion binding', 'phosphatidylinositol-4,5-bisphosphate binding', 'selenium binding', 'small GTPase binding', 'protein-containing complex binding', 'phosphate ion binding', 'inositol 1,4,5 trisphosphate binding']",1,1,1,1,1,0,0,3,2,5
426,HTR3A,5-hydroxytryptamine receptor 3A [Source:HGNC Symbol;Acc:HGNC:5297],"['protein binding', 'serotonin-gated cation-selective channel activity', 'serotonin binding', 'transmembrane signaling receptor activity']",1,0,1,0,0,0,0,2,0,2
427,STX6,syntaxin 6 [Source:HGNC Symbol;Acc:HGNC:11441],"['SNAP receptor activity', 'syntaxin binding']",1,1,1,1,0,0,0,3,1,4
428,DOCK10,dedicator of cytokinesis 10 [Source:HGNC Symbol;Acc:HGNC:23479],"['protein binding', 'guanyl-nucleotide exchange factor activity']",1,1,0,0,0,0,0,2,0,2
429,ANO2,anoctamin 2 [Source:HGNC Symbol;Acc:HGNC:1183],"['intracellular calcium activated chloride channel activity', 'identical protein binding', 'protein dimerization activity']",1,0,0,0,0,0,0,1,0,1
430,OLFM1,olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187],['protein binding'],1,1,1,1,1,0,1,3,3,6
431,CADPS,calcium dependent secretion activator [Source:HGNC Symbol;Acc:HGNC:1426],"['protein kinase binding', 'lipid binding', 'metal ion binding']",1,1,1,1,1,0,1,3,3,6
432,RPL18A,ribosomal protein L18a [Source:HGNC Symbol;Acc:HGNC:10311],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,0,0,1,1,1,1,1,4,5
433,LAMA5,laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485],"['integrin binding', 'extracellular matrix structural constituent']",1,0,0,0,0,0,1,1,1,2
434,LYN,"LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]","['ion channel binding', 'SH3 domain binding', 'phosphorylation-dependent protein binding', 'platelet-derived growth factor receptor binding', 'ubiquitin protein ligase binding', 'ephrin receptor binding', 'non-membrane spanning protein tyrosine kinase activity', 'integrin binding', 'glycosphingolipid binding', 'gamma-tubulin binding', 'ATP binding', 'phosphoprotein binding']",1,1,0,0,0,1,1,2,2,4
435,SLC18A2,solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935],"['serotonin:sodium symporter activity', 'protein binding']",1,1,1,0,0,0,0,3,0,3
436,CACNA1B,calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389],"['calcium ion binding', 'ATP binding', 'amyloid-beta binding', 'protein C-terminus binding', 'high voltage-gated calcium channel activity']",1,0,1,1,1,0,1,2,3,5
437,CYFIP2,cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760],['small GTPase binding'],1,1,0,1,1,1,1,2,4,6
438,NOS1AP,nitric oxide synthase 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:16859],['nitric-oxide synthase binding'],1,0,0,0,0,0,0,1,0,1
439,STX3,syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438],"['SNARE binding', 'SNAP receptor activity', 'arachidonic acid binding']",1,0,1,0,0,0,0,2,0,2
440,PHB2,prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306],"['estrogen receptor binding', 'protein N-terminus binding', 'protein homodimerization activity', 'amide binding', 'protein heterodimerization activity', 'sphingolipid binding', 'protein C-terminus binding']",1,1,0,1,1,1,1,2,4,6
441,PTEN,phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588],"['phosphatidylinositol-3-phosphatase activity', 'protein tyrosine kinase binding', 'lipid binding', 'protein tyrosine phosphatase activity', 'protein serine phosphatase activity', 'platelet-derived growth factor receptor binding', 'protein tyrosine/serine/threonine phosphatase activity', 'protein threonine phosphatase activity', 'identical protein binding', 'inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity', 'phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity', 'anaphase-promoting complex binding', 'phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity', 'PDZ domain binding', 'ubiquitin-specific protease binding', 'ionotropic glutamate receptor binding']",1,0,0,0,0,0,1,1,1,2
442,FKBP1A,FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711],"['ion channel binding', 'SMAD binding', 'peptidyl-prolyl cis-trans isomerase activity', 'FK506 binding', 'type I transforming growth factor beta receptor binding', 'activin binding']",1,0,1,1,1,0,0,2,2,4
