Gene Symbol,Accession,Description,SumCoverage,SumNum Proteins,SumNum Unique Peptides,SumNum Peptides,SumNum PSMs,Score A2,Coverage A2,Num Peptides A2,Num PSM A2,Score A4,Coverage A4,Num Peptides A4,Num PSM A4,Num AAs,MW kDa,calc pI,,,,,,,,
LRRFIP1,C9JTC6,Leucine-rich repeat flightless-interacting protein 1 (Fragment) OS=Homo sapiens GN=LRRFIP1 PE=2 SV=1 - [C9JTC6_HUMAN],12.75,5.0,1.0,1.0,2.0,23.07,12.75,1.0,1.0,1.94,12.75,1.0,1.0,149.0,16.4,9.19,,,,,,,,
WDFY1,C9JJ54,WD repeat and FYVE domain-containing protein 1 (Fragment) OS=Homo sapiens GN=WDFY1 PE=2 SV=1 - [C9JJ54_HUMAN],12.56,2.0,1.0,1.0,2.0,30.22,12.56,1.0,1.0,3.1,12.56,1.0,1.0,215.0,24.2,7.8,,,,,,,,
UFD1L,A6NJ11,Ubiquitin fusion degradation protein 1 homolog OS=Homo sapiens GN=UFD1L PE=2 SV=1 - [A6NJ11_HUMAN],12.16,5.0,2.0,2.0,2.0,,,,,4.75,12.16,2.0,2.0,296.0,33.3,7.01,,,,,,,,
TOM1,B3KUU1,Target of Myb protein 1 OS=Homo sapiens GN=TOM1 PE=2 SV=1 - [B3KUU1_HUMAN],12.08,8.0,2.0,2.0,2.0,,,,,3.15,12.08,2.0,2.0,265.0,29.4,5.03,,,,,,,,
VMP1,K7EL46,Vacuole membrane protein 1 (Fragment) OS=Homo sapiens GN=VMP1 PE=4 SV=1 - [K7EL46_HUMAN],12.07,9.0,1.0,1.0,2.0,22.76,12.07,1.0,1.0,2.04,12.07,1.0,1.0,58.0,7.0,9.99,,,,,,,,
ANXA3,D6RCA8,Annexin (Fragment) OS=Homo sapiens GN=ANXA3 PE=2 SV=1 - [D6RCA8_HUMAN],11.94,4.0,1.0,1.0,2.0,26.82,11.94,1.0,1.0,2.12,11.94,1.0,1.0,134.0,14.9,7.5,,,,,,,,
ARHGAP17,I3L4P6,Rho GTPase-activating protein 17 (Fragment) OS=Homo sapiens GN=ARHGAP17 PE=2 SV=1 - [I3L4P6_HUMAN],11.84,7.0,1.0,1.0,2.0,25.71,11.84,1.0,1.0,1.69,11.84,1.0,1.0,76.0,8.6,4.48,,,,,,,,
CD47,H7BYS8,Leukocyte surface antigen CD47 (Fragment) OS=Homo sapiens GN=CD47 PE=4 SV=1 - [H7BYS8_HUMAN],11.63,2.0,1.0,1.0,2.0,20.12,11.63,1.0,1.0,1.87,11.63,1.0,1.0,86.0,10.0,7.94,,,,,,,,
NUDT15,Q9NV35,Probable 8-oxo-dGTP diphosphatase NUDT15 OS=Homo sapiens GN=NUDT15 PE=1 SV=1 - [NUD15_HUMAN],11.59,1.0,1.0,1.0,2.0,31.3,11.59,1.0,1.0,0.0,11.59,1.0,1.0,164.0,18.6,6.14,,,,,,,,
LYZ,F8VV32,Lysozyme C OS=Homo sapiens GN=LYZ PE=2 SV=1 - [F8VV32_HUMAN],11.54,2.0,1.0,1.0,2.0,43.82,11.54,1.0,1.0,2.99,11.54,1.0,1.0,104.0,11.5,9.07,,,,,,,,
DCAKD,K7ESP4,Dephospho-CoA kinase domain-containing protein (Fragment) OS=Homo sapiens GN=DCAKD PE=3 SV=1 - [K7ESP4_HUMAN],11.48,3.0,2.0,2.0,2.0,,,,,4.36,11.48,2.0,2.0,209.0,24.2,9.67,,,,,,,,
PUF60,H0YCP8,Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens GN=PUF60 PE=4 SV=1 - [H0YCP8_HUMAN],11.36,9.0,1.0,1.0,2.0,,,,,6.45,11.36,1.0,2.0,273.0,28.1,8.38,,,,,,,,
EIF3J,H0YGJ7,Eukaryotic translation initiation factor 3 subunit J (Fragment) OS=Homo sapiens GN=EIF3J PE=4 SV=1 - [H0YGJ7_HUMAN],11.32,5.0,1.0,1.0,2.0,51.4,11.32,1.0,1.0,2.99,11.32,1.0,1.0,106.0,12.1,4.94,,,,,,,,
TBCC,Q15814,Tubulin-specific chaperone C OS=Homo sapiens GN=TBCC PE=1 SV=2 - [TBCC_HUMAN],11.27,1.0,2.0,2.0,2.0,31.02,8.67,1.0,1.0,2.11,2.6,1.0,1.0,346.0,39.2,5.71,,,,,,,,
GUK1,Q16774,Guanylate kinase OS=Homo sapiens GN=GUK1 PE=1 SV=2 - [KGUA_HUMAN],11.17,8.0,1.0,1.0,2.0,38.83,11.17,1.0,1.0,4.21,11.17,1.0,1.0,197.0,21.7,6.55,,,,,,,,
ROGDI,K7EPN1,Protein rogdi homolog (Fragment) OS=Homo sapiens GN=ROGDI PE=4 SV=1 - [K7EPN1_HUMAN],11.11,4.0,1.0,1.0,2.0,20.59,11.11,1.0,1.0,3.07,11.11,1.0,1.0,171.0,19.1,7.5,,,,,,,,
MARCH11',H0Y9K6,E3 ubiquitin-protein ligase MARCH11 (Fragment) OS=Homo sapiens GN=MARCH11 PE=4 SV=1 - [H0Y9K6_HUMAN],11.11,1.0,1.0,1.0,2.0,,,,,1.78,11.11,1.0,2.0,54.0,6.3,7.65,,,,,,,,
HERC2,H3BUQ1,E3 ubiquitin-protein ligase HERC2 (Fragment) OS=Homo sapiens GN=HERC2 PE=4 SV=1 - [H3BUQ1_HUMAN],11.0,2.0,1.0,1.0,2.0,45.76,11.0,1.0,1.0,3.79,11.0,1.0,1.0,200.0,20.7,4.54,,,,,,,,
RBM8A,Q9Y5S9-2,Isoform 2 of RNA-binding protein 8A OS=Homo sapiens GN=RBM8A - [RBM8A_HUMAN],10.98,2.0,1.0,1.0,2.0,31.71,10.98,1.0,1.0,3.16,10.98,1.0,1.0,173.0,19.7,5.92,,,,,,,,
STX4,C9JFM5,Syntaxin-4 (Fragment) OS=Homo sapiens GN=STX4 PE=2 SV=1 - [C9JFM5_HUMAN],10.86,3.0,1.0,1.0,2.0,31.19,10.86,1.0,1.0,2.62,10.86,1.0,1.0,175.0,19.8,8.41,,,,,,,,
MRPL18,Q9H0U6,"39S ribosomal protein L18, mitochondrial OS=Homo sapiens GN=MRPL18 PE=1 SV=1 - [RM18_HUMAN]",10.56,1.0,2.0,2.0,2.0,,,,,3.67,10.56,2.0,2.0,180.0,20.6,9.54,,,,,,,,
S100A11,P31949,Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2 - [S10AB_HUMAN],10.48,1.0,1.0,1.0,2.0,55.91,10.48,1.0,1.0,3.01,10.48,1.0,1.0,105.0,11.7,7.12,,,,,,,,
RNF126,Q9BV68-2,Isoform 2 of RING finger protein 126 OS=Homo sapiens GN=RNF126 - [RN126_HUMAN],10.29,2.0,1.0,1.0,2.0,24.67,10.29,1.0,1.0,3.25,10.29,1.0,1.0,311.0,33.8,5.47,,,,,,,,
PTPRN,H7C0U9,Receptor-type tyrosine-protein phosphatase-like N (Fragment) OS=Homo sapiens GN=PTPRN PE=4 SV=1 - [H7C0U9_HUMAN],10.22,9.0,1.0,1.0,2.0,27.49,10.22,1.0,1.0,2.45,10.22,1.0,1.0,137.0,15.7,7.31,,,,,,,,
SHC1,Q5T181,SHC-transforming protein 1 (Fragment) OS=Homo sapiens GN=SHC1 PE=2 SV=1 - [Q5T181_HUMAN],10.22,7.0,1.0,1.0,2.0,0.0,10.22,1.0,1.0,1.9,10.22,1.0,1.0,137.0,14.8,10.62,,,,,,,,
EFNB2,P52799,Ephrin-B2 OS=Homo sapiens GN=EFNB2 PE=1 SV=1 - [EFNB2_HUMAN],10.21,1.0,2.0,2.0,2.0,,,,,2.56,10.21,2.0,2.0,333.0,36.9,8.85,,,,,,,,
CLVS1,E5RK22,Clavesin-1 (Fragment) OS=Homo sapiens GN=CLVS1 PE=2 SV=1 - [E5RK22_HUMAN],10.13,4.0,1.0,1.0,2.0,61.58,10.13,1.0,1.0,2.74,10.13,1.0,1.0,79.0,9.1,5.86,,,,,,,,
HSD17B7,Q5T250,3-keto-steroid reductase (Fragment) OS=Homo sapiens GN=HSD17B7 PE=2 SV=1 - [Q5T250_HUMAN],10.08,4.0,1.0,1.0,2.0,58.8,10.08,1.0,1.0,3.47,10.08,1.0,1.0,119.0,13.7,9.33,,,,,,,,
COMT,P21964-2,Isoform Soluble of Catechol O-methyltransferase OS=Homo sapiens GN=COMT - [COMT_HUMAN],9.95,2.0,1.0,1.0,2.0,40.6,9.95,1.0,1.0,3.67,9.95,1.0,1.0,221.0,24.4,5.33,,,,,,,,
FAM160B1,Q5W0V4,Protein FAM160B1 OS=Homo sapiens GN=FAM160B1 PE=2 SV=1 - [Q5W0V4_HUMAN],9.9,3.0,1.0,1.0,2.0,21.6,9.9,1.0,1.0,2.16,9.9,1.0,1.0,101.0,11.5,4.78,,,,,,,,
SEMA3E,C9JVH5,Semaphorin-3E (Fragment) OS=Homo sapiens GN=SEMA3E PE=2 SV=3 - [C9JVH5_HUMAN],9.82,3.0,1.0,1.0,2.0,33.97,9.82,1.0,1.0,0.0,9.82,1.0,1.0,163.0,18.7,6.52,,,,,,,,
ARFGAP1,E5RHH7,ADP-ribosylation factor GTPase-activating protein 1 (Fragment) OS=Homo sapiens GN=ARFGAP1 PE=2 SV=1 - [E5RHH7_HUMAN],9.8,9.0,1.0,1.0,2.0,23.58,9.8,1.0,1.0,2.92,9.8,1.0,1.0,153.0,16.4,6.57,,,,,,,,
MRPL21,H3BUY0,"39S ribosomal protein L21, mitochondrial OS=Homo sapiens GN=MRPL21 PE=2 SV=1 - [H3BUY0_HUMAN]",9.74,1.0,1.0,1.0,2.0,28.66,9.74,1.0,1.0,1.76,9.74,1.0,1.0,195.0,21.5,10.89,,,,,,,,
ARRB2,I3L412,Beta-arrestin-2 (Fragment) OS=Homo sapiens GN=ARRB2 PE=2 SV=1 - [I3L412_HUMAN],9.69,7.0,1.0,1.0,2.0,36.79,9.69,1.0,1.0,3.54,9.69,1.0,1.0,196.0,22.2,8.18,,,,,,,,
LOXL2,H0YAR1,Lysyl oxidase homolog 2 (Fragment) OS=Homo sapiens GN=LOXL2 PE=4 SV=1 - [H0YAR1_HUMAN],9.66,2.0,1.0,1.0,2.0,34.39,9.66,1.0,1.0,3.06,9.66,1.0,1.0,207.0,22.4,7.09,,,,,,,,
ISYNA1,J3KRH4,Inositol-3-phosphate synthase 1 (Fragment) OS=Homo sapiens GN=ISYNA1 PE=4 SV=1 - [J3KRH4_HUMAN],9.6,6.0,1.0,1.0,2.0,34.75,9.6,1.0,1.0,2.42,9.6,1.0,1.0,177.0,19.5,8.53,,,,,,,,
PPP1R12A,H0YIM2,Protein phosphatase 1 regulatory subunit 12A (Fragment) OS=Homo sapiens GN=PPP1R12A PE=4 SV=1 - [H0YIM2_HUMAN],9.57,7.0,1.0,1.0,2.0,26.63,9.57,1.0,1.0,2.37,9.57,1.0,1.0,188.0,22.0,5.92,,,,,,,,
FTSJ1,B7Z4K4,Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase OS=Homo sapiens GN=FTSJ1 PE=2 SV=1 - [B7Z4K4_HUMAN],9.38,3.0,1.0,1.0,2.0,42.65,9.38,1.0,1.0,2.1,9.38,1.0,1.0,192.0,21.2,5.2,,,,,,,,
TTC5,H9KV81,Tetratricopeptide repeat protein 5 OS=Homo sapiens GN=TTC5 PE=2 SV=1 - [H9KV81_HUMAN],9.38,3.0,1.0,1.0,2.0,49.48,9.38,1.0,1.0,3.44,9.38,1.0,1.0,128.0,14.4,4.55,,,,,,,,
CHMP5,Q9NZZ3-2,Isoform 2 of Charged multivesicular body protein 5 OS=Homo sapiens GN=CHMP5 - [CHMP5_HUMAN],9.36,2.0,1.0,1.0,2.0,24.8,9.36,1.0,1.0,2.04,9.36,1.0,1.0,171.0,19.5,6.84,,,,,,,,
SEC11A,H0YKT4,Signal peptidase complex catalytic subunit SEC11A (Fragment) OS=Homo sapiens GN=SEC11A PE=2 SV=1 - [H0YKT4_HUMAN],9.3,5.0,1.0,1.0,2.0,0.0,9.3,1.0,1.0,0.0,9.3,1.0,1.0,129.0,14.9,9.7,,,,,,,,
AP3S1,F5H459,AP-3 complex subunit sigma-1 OS=Homo sapiens GN=AP3S1 PE=2 SV=1 - [F5H459_HUMAN],9.26,2.0,1.0,1.0,2.0,62.7,9.26,1.0,1.0,3.32,9.26,1.0,1.0,162.0,18.8,5.08,,,,,,,,
VPS37B,F5H1F6,Vacuolar protein sorting-associated protein 37B (Fragment) OS=Homo sapiens GN=VPS37B PE=2 SV=1 - [F5H1F6_HUMAN],9.24,3.0,1.0,1.0,2.0,,,,,5.87,9.24,1.0,2.0,184.0,20.6,6.19,,,,,,,,
IBA57,G5EA38,Chromosome 1 open reading frame 69 OS=Homo sapiens GN=IBA57 PE=4 SV=1 - [G5EA38_HUMAN],9.2,2.0,1.0,1.0,2.0,33.98,9.2,1.0,1.0,3.32,9.2,1.0,1.0,163.0,17.6,9.48,,,,,,,,
SQLE,H0YBN7,Squalene monooxygenase (Fragment) OS=Homo sapiens GN=SQLE PE=2 SV=1 - [H0YBN7_HUMAN],9.2,3.0,1.0,1.0,2.0,44.75,9.2,1.0,1.0,2.75,9.2,1.0,1.0,163.0,18.4,9.14,,,,,,,,
PIK3C3,K7ENH3,Phosphatidylinositol 3-kinase catalytic subunit type 3 (Fragment) OS=Homo sapiens GN=PIK3C3 PE=4 SV=1 - [K7ENH3_HUMAN],8.96,5.0,1.0,1.0,2.0,27.2,8.96,1.0,1.0,1.94,8.96,1.0,1.0,134.0,15.0,9.03,,,,,,,,
RABL3,Q5HYI8,Rab-like protein 3 OS=Homo sapiens GN=RABL3 PE=1 SV=1 - [RABL3_HUMAN],8.9,1.0,1.0,1.0,2.0,87.9,8.9,1.0,1.0,5.01,8.9,1.0,1.0,236.0,26.4,7.11,,,,,,,,
ATP6AP2,H7C240,Renin receptor (Fragment) OS=Homo sapiens GN=ATP6AP2 PE=2 SV=1 - [H7C240_HUMAN],8.87,5.0,1.0,1.0,2.0,25.0,8.87,1.0,1.0,2.87,8.87,1.0,1.0,203.0,22.2,9.39,,,,,,,,
WIBG,Q9BRP8-2,Isoform 2 of Partner of Y14 and mago OS=Homo sapiens GN=WIBG - [WIBG_HUMAN],8.87,2.0,1.0,1.0,2.0,70.57,8.87,1.0,1.0,3.65,8.87,1.0,1.0,203.0,22.7,9.44,,,,,,,,
AKAP1,I3L0W0,"A-kinase anchor protein 1, mitochondrial (Fragment) OS=Homo sapiens GN=AKAP1 PE=2 SV=1 - [I3L0W0_HUMAN]",8.82,3.0,1.0,1.0,2.0,29.6,8.82,1.0,1.0,2.52,8.82,1.0,1.0,204.0,21.8,4.61,,,,,,,,
ARL15.00,Q9NXU5,ADP-ribosylation factor-like protein 15 OS=Homo sapiens GN=ARL15 PE=1 SV=1 - [ARL15_HUMAN],8.82,1.0,1.0,1.0,2.0,50.05,8.82,1.0,1.0,3.13,8.82,1.0,1.0,204.0,22.9,5.63,,,,,,,,
DCI,Q96DC0,DCI protein OS=Homo sapiens GN=DCI PE=2 SV=1 - [Q96DC0_HUMAN],8.64,4.0,2.0,2.0,2.0,,,,,4.0,8.64,2.0,2.0,243.0,27.0,6.77,,,,,,,,
WBSCR16,C9JWG9,Williams-Beuren syndrome chromosomal region 16 protein (Fragment) OS=Homo sapiens GN=WBSCR16 PE=2 SV=1 - [C9JWG9_HUMAN],8.5,4.0,1.0,1.0,2.0,,,,,5.49,8.5,1.0,2.0,153.0,17.2,9.92,,,,,,,,
RPS24,P62847-2,Isoform 2 of 40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 - [RS24_HUMAN],8.46,5.0,1.0,1.0,2.0,27.79,8.46,1.0,1.0,2.73,8.46,1.0,1.0,130.0,15.1,10.89,,,,,,,,
CRK,P46108-2,Isoform Crk-I of Adapter molecule crk OS=Homo sapiens GN=CRK - [CRK_HUMAN],8.33,3.0,1.0,1.0,2.0,67.58,8.33,1.0,1.0,3.18,8.33,1.0,1.0,204.0,22.9,5.48,,,,,,,,
CALU,O43852,Calumenin OS=Homo sapiens GN=CALU PE=1 SV=2 - [CALU_HUMAN],8.25,12.0,2.0,2.0,2.0,,,,,0.0,8.25,2.0,2.0,315.0,37.1,4.64,,,,,,,,
AGPAT6,E5RIA1,Glycerol-3-phosphate acyltransferase 4 (Fragment) OS=Homo sapiens GN=AGPAT6 PE=2 SV=1 - [E5RIA1_HUMAN],8.23,3.0,1.0,1.0,2.0,20.95,8.23,1.0,1.0,2.04,8.23,1.0,1.0,158.0,18.2,8.73,,,,,,,,
PDF,Q9HBH1,"Peptide deformylase, mitochondrial OS=Homo sapiens GN=PDF PE=1 SV=1 - [DEFM_HUMAN]",8.23,1.0,1.0,1.0,2.0,34.65,8.23,1.0,1.0,2.22,8.23,1.0,1.0,243.0,27.0,9.16,,,,,,,,
GTF3C3,H7C0C0,General transcription factor 3C polypeptide 3 (Fragment) OS=Homo sapiens GN=GTF3C3 PE=2 SV=1 - [H7C0C0_HUMAN],8.11,2.0,1.0,1.0,2.0,28.08,8.11,1.0,1.0,2.5,8.11,1.0,1.0,148.0,16.6,6.77,,,,,,,,
OSTC,Q9NRP0,Oligosaccharyltransferase complex subunit OSTC OS=Homo sapiens GN=OSTC PE=1 SV=1 - [OSTC_HUMAN],8.05,2.0,1.0,1.0,2.0,44.64,8.05,1.0,1.0,3.03,8.05,1.0,1.0,149.0,16.8,9.13,,,,,,,,
UBL7,H3BV23,Ubiquitin-like protein 7 (Fragment) OS=Homo sapiens GN=UBL7 PE=2 SV=1 - [H3BV23_HUMAN],8.02,3.0,1.0,1.0,2.0,32.33,8.02,1.0,1.0,0.0,8.02,1.0,1.0,162.0,18.2,7.4,,,,,,,,
EIF4E2,C9JEL3,Eukaryotic translation initiation factor 4E type 2 (Fragment) OS=Homo sapiens GN=EIF4E2 PE=2 SV=1 - [C9JEL3_HUMAN],7.98,5.0,1.0,1.0,2.0,33.26,7.98,1.0,1.0,0.0,7.98,1.0,1.0,213.0,24.6,7.53,,,,,,,,
FAM109A,Q8N4B1-2,Isoform 2 of Sesquipedalian-1 OS=Homo sapiens GN=FAM109A - [SESQ1_HUMAN],7.94,3.0,1.0,1.0,2.0,,,,,0.0,7.94,1.0,2.0,126.0,13.6,11.06,,,,,,,,
KDSR,K7ERC8,3-ketodihydrosphingosine reductase (Fragment) OS=Homo sapiens GN=KDSR PE=3 SV=1 - [K7ERC8_HUMAN],7.88,3.0,1.0,1.0,2.0,38.65,7.88,1.0,1.0,2.83,7.88,1.0,1.0,203.0,22.6,7.8,,,,,,,,
CYP2S1,M0R2G8,Cytochrome P450 2S1 OS=Homo sapiens GN=CYP2S1 PE=4 SV=1 - [M0R2G8_HUMAN],7.88,4.0,1.0,1.0,2.0,22.79,7.88,1.0,1.0,2.49,7.88,1.0,1.0,165.0,17.8,7.24,,,,,,,,
REEP1,F8W897,Receptor expression-enhancing protein 1 (Fragment) OS=Homo sapiens GN=REEP1 PE=2 SV=1 - [F8W897_HUMAN],7.86,6.0,1.0,1.0,2.0,0.0,7.86,1.0,1.0,2.67,7.86,1.0,1.0,140.0,15.7,8.43,,,,,,,,
MAVS,Q7Z434-4,Isoform 4 of Mitochondrial antiviral-signaling protein OS=Homo sapiens GN=MAVS - [MAVS_HUMAN],7.77,2.0,1.0,1.0,2.0,28.56,7.77,1.0,1.0,3.45,7.77,1.0,1.0,399.0,40.4,5.5,,,,,,,,
SNAP29,O95721,Synaptosomal-associated protein 29 OS=Homo sapiens GN=SNAP29 PE=1 SV=1 - [SNP29_HUMAN],7.75,1.0,1.0,1.0,2.0,21.2,7.75,1.0,1.0,2.44,7.75,1.0,1.0,258.0,29.0,5.81,,,,,,,,
PABPN1,B4DEH8,Polyadenylate-binding protein 2 OS=Homo sapiens GN=PABPN1 PE=2 SV=1 - [B4DEH8_HUMAN],7.74,9.0,1.0,1.0,2.0,23.5,7.74,1.0,1.0,2.58,7.74,1.0,1.0,168.0,19.0,9.23,,,,,,,,
EML2,K7EII6,Echinoderm microtubule-associated protein-like 2 (Fragment) OS=Homo sapiens GN=EML2 PE=4 SV=1 - [K7EII6_HUMAN],7.73,7.0,1.0,1.0,2.0,52.13,7.73,1.0,1.0,2.9,7.73,1.0,1.0,181.0,18.9,5.14,,,,,,,,
GSTK1,Q9Y2Q3-4,Isoform 4 of Glutathione S-transferase kappa 1 OS=Homo sapiens GN=GSTK1 - [GSTK1_HUMAN],7.65,5.0,1.0,1.0,2.0,25.98,7.65,1.0,1.0,2.97,7.65,1.0,1.0,183.0,20.5,6.54,,,,,,,,
CD63,F8VNT9,CD63 antigen (Fragment) OS=Homo sapiens GN=CD63 PE=2 SV=1 - [F8VNT9_HUMAN],7.52,8.0,1.0,1.0,2.0,46.43,7.52,1.0,1.0,2.36,7.52,1.0,1.0,133.0,14.3,7.59,,,,,,,,
ITM2B,Q5W0A2,"BRI2, membrane form OS=Homo sapiens GN=ITM2B PE=2 SV=1 - [Q5W0A2_HUMAN]",7.5,2.0,1.0,1.0,2.0,42.62,7.5,1.0,2.0,,,,,160.0,18.3,7.33,,,,,,,,
STAMBPL1,B3KR00,AMSH-like protease OS=Homo sapiens GN=STAMBPL1 PE=2 SV=1 - [B3KR00_HUMAN],7.41,3.0,1.0,1.0,2.0,60.08,7.41,1.0,1.0,2.63,7.41,1.0,1.0,270.0,30.2,6.74,,,,,,,,
RBM25,E9PQU5,RNA-binding protein 25 (Fragment) OS=Homo sapiens GN=RBM25 PE=2 SV=1 - [E9PQU5_HUMAN],7.41,4.0,1.0,1.0,2.0,40.79,7.41,1.0,1.0,3.11,7.41,1.0,1.0,243.0,26.7,9.04,,,,,,,,
CCDC92,F5H2Z7,Coiled-coil domain-containing protein 92 (Fragment) OS=Homo sapiens GN=CCDC92 PE=2 SV=1 - [F5H2Z7_HUMAN],7.29,5.0,1.0,1.0,2.0,,,,,3.72,7.29,1.0,2.0,96.0,11.0,6.52,,,,,,,,
LASP1,C9J9W2,LIM and SH3 domain protein 1 (Fragment) OS=Homo sapiens GN=LASP1 PE=2 SV=1 - [C9J9W2_HUMAN],7.23,3.0,1.0,1.0,2.0,0.0,7.23,1.0,1.0,0.0,7.23,1.0,1.0,166.0,19.0,9.01,,,,,,,,
FTO,B4DHN4,Alpha-ketoglutarate-dependent dioxygenase FTO OS=Homo sapiens GN=FTO PE=2 SV=1 - [B4DHN4_HUMAN],7.18,2.0,1.0,1.0,2.0,21.49,7.18,1.0,1.0,2.46,7.18,1.0,1.0,209.0,24.2,5.64,,,,,,,,
MPST,B1AH49,3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=2 SV=1 - [B1AH49_HUMAN],7.14,3.0,1.0,1.0,2.0,28.45,7.14,1.0,1.0,2.67,7.14,1.0,1.0,224.0,25.0,7.65,,,,,,,,
SSH2,J3KSQ9,Protein phosphatase Slingshot homolog 2 OS=Homo sapiens GN=SSH2 PE=4 SV=1 - [J3KSQ9_HUMAN],7.14,8.0,1.0,1.0,2.0,59.28,7.14,1.0,1.0,1.95,7.14,1.0,1.0,112.0,12.4,9.6,,,,,,,,
RIMS3,Q9UJD0,Regulating synaptic membrane exocytosis protein 3 OS=Homo sapiens GN=RIMS3 PE=1 SV=1 - [RIMS3_HUMAN],7.14,1.0,1.0,1.0,2.0,28.08,7.14,1.0,1.0,0.0,7.14,1.0,1.0,308.0,32.8,9.29,,,,,,,,
GPM6B,H7C5H4,Neuronal membrane glycoprotein M6-b (Fragment) OS=Homo sapiens GN=GPM6B PE=4 SV=1 - [H7C5H4_HUMAN],7.07,3.0,1.0,1.0,2.0,22.04,7.07,1.0,1.0,1.81,7.07,1.0,1.0,184.0,20.7,6.51,,,,,,,,
GDPGP1,H0YN11,GDP-D-glucose phosphorylase 1 (Fragment) OS=Homo sapiens GN=GDPGP1 PE=2 SV=1 - [H0YN11_HUMAN],7.01,2.0,1.0,1.0,2.0,24.93,7.01,1.0,1.0,2.09,7.01,1.0,1.0,214.0,23.9,7.52,,,,,,,,
SPRY2,O43597,Protein sprouty homolog 2 OS=Homo sapiens GN=SPRY2 PE=1 SV=1 - [SPY2_HUMAN],6.98,1.0,1.0,1.0,2.0,22.99,6.98,1.0,1.0,0.0,6.98,1.0,1.0,315.0,34.7,8.35,,,,,,,,
TMEM57,Q8N5G2-2,Isoform 2 of Macoilin OS=Homo sapiens GN=TMEM57 - [MACOI_HUMAN],6.86,3.0,1.0,1.0,2.0,21.32,6.86,1.0,1.0,2.2,6.86,1.0,1.0,306.0,35.0,9.47,,,,,,,,
NUP85,J3QLV0,Nuclear pore complex protein Nup85 (Fragment) OS=Homo sapiens GN=NUP85 PE=4 SV=1 - [J3QLV0_HUMAN],6.81,6.0,1.0,1.0,2.0,48.83,6.81,1.0,1.0,2.67,6.81,1.0,1.0,191.0,21.7,4.83,,,,,,,,
C5orf51,A6NDU8,UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1 - [CE051_HUMAN],6.8,1.0,1.0,1.0,2.0,26.77,6.8,1.0,1.0,2.62,6.8,1.0,1.0,294.0,33.6,5.26,,,,,,,,
C16orf70,H3BS58,UPF0183 protein C16orf70 (Fragment) OS=Homo sapiens GN=C16orf70 PE=2 SV=1 - [H3BS58_HUMAN],6.76,3.0,1.0,1.0,2.0,34.11,6.76,1.0,1.0,3.33,6.76,1.0,1.0,222.0,24.5,6.28,,,,,,,,
LSM12.00,Q3MHD2,Protein LSM12 homolog OS=Homo sapiens GN=LSM12 PE=1 SV=2 - [LSM12_HUMAN],6.67,3.0,1.0,1.0,2.0,32.85,6.67,1.0,1.0,3.23,6.67,1.0,1.0,195.0,21.7,7.74,,,,,,,,
POLR2E,P19388,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens GN=POLR2E PE=1 SV=4 - [RPAB1_HUMAN]",6.67,1.0,1.0,1.0,2.0,22.46,6.67,1.0,1.0,2.27,6.67,1.0,1.0,210.0,24.5,5.95,,,,,,,,
HTRA2,O43464-2,"Isoform 2 of Serine protease HTRA2, mitochondrial OS=Homo sapiens GN=HTRA2 - [HTRA2_HUMAN]",6.65,4.0,1.0,1.0,2.0,36.7,6.65,1.0,1.0,2.47,6.65,1.0,1.0,361.0,38.5,10.71,,,,,,,,
IPO13,Q5T4X2,Importin-13 OS=Homo sapiens GN=IPO13 PE=2 SV=1 - [Q5T4X2_HUMAN],6.63,2.0,1.0,1.0,2.0,24.54,6.63,1.0,1.0,1.98,6.63,1.0,1.0,181.0,20.4,8.18,,,,,,,,
TNFRSF10B,B7Z588,Tumor necrosis factor receptor superfamily member 10B OS=Homo sapiens GN=TNFRSF10B PE=2 SV=1 - [B7Z588_HUMAN],6.54,3.0,1.0,1.0,2.0,38.03,6.54,1.0,1.0,2.38,6.54,1.0,1.0,260.0,28.7,5.22,,,,,,,,
UBE2E3,R4GN77,Ubiquitin-conjugating enzyme E2 E3 (Fragment) OS=Homo sapiens GN=UBE2E3 PE=4 SV=1 - [R4GN77_HUMAN],6.5,10.0,1.0,1.0,2.0,27.31,6.5,1.0,1.0,1.82,6.5,1.0,1.0,123.0,13.4,5.01,,,,,,,,
CNOT11,Q9UKZ1,CCR4-NOT transcription complex subunit 11 OS=Homo sapiens GN=CNOT11 PE=1 SV=1 - [CNO11_HUMAN],6.47,1.0,2.0,2.0,2.0,,,,,4.37,6.47,2.0,2.0,510.0,55.2,6.4,,,,,,,,
AK4,D3DQ64,"GTP:AMP phosphotransferase AK4, mitochondrial OS=Homo sapiens GN=AK4 PE=3 SV=1 - [D3DQ64_HUMAN]",6.43,2.0,1.0,1.0,2.0,25.5,6.43,1.0,1.0,2.42,6.43,1.0,1.0,171.0,19.8,7.12,,,,,,,,
